"id","ticker","date","closing_price","dividend","yield"
"1","00937B.TWO","2024-02-27","14.28","0.0840","0.0059"
"2","00937B.TWO","2024-03-18","14.46","0.0840","0.0058"
"3","00937B.TWO","2024-04-18","14.27","0.0840","0.0059"
"4","00937B.TWO","2024-05-17","14.63","0.0840","0.0057"
"5","00937B.TWO","2024-06-24","14.79","0.0840","0.0057"
"6","00937B.TWO","2024-07-19","15.07","0.0840","0.0056"
"7","00937B.TWO","2024-08-21","15.31","0.0820","0.0054"
"8","00937B.TWO","2024-09-23","15.62","0.0820","0.0052"
"9","00937B.TWO","2024-10-22","15.02","0.0820","0.0055"
"10","00937B.TWO","2024-11-21","15.20","0.0820","0.0054"
"11","00937B.TWO","2024-12-20","15.06","0.0820","0.0054"
"12","00937B.TWO","2025-01-22","15.09","0.0820","0.0054"
"13","00937B.TWO","2025-02-18","15.28","0.0820","0.0054"
"14","00937B.TWO","2025-03-18","15.47","0.0800","0.0052"
"15","00937B.TWO","2025-04-21","14.48","0.0800","0.0055"
"16","00937B.TWO","2025-05-19","13.60","0.0770","0.0057"
"17","00937B.TWO","2025-06-17","13.67","0.0770","0.0056"
"18","00937B.TWO","2025-07-16","13.65","0.0720","0.0053"
"19","00937B.TWO","2025-08-18",NULL,"0.0720",NULL
"20","00751B.TWO","2019-06-24","34.95","0.5900","0.0169"
"21","00751B.TWO","2019-09-23","37.06","0.4000","0.0108"
"22","00751B.TWO","2019-12-20","36.80","0.3800","0.0103"
"23","00751B.TWO","2020-03-20","31.11","0.3650","0.0117"
"24","00751B.TWO","2020-06-16","38.65","0.3650","0.0094"
"25","00751B.TWO","2020-09-16","39.64","0.3750","0.0095"
"26","00751B.TWO","2020-12-16","38.84","0.3350","0.0086"
"27","00751B.TWO","2021-03-17","34.60","0.3600","0.0104"
"28","00751B.TWO","2021-06-17","35.87","0.3600","0.0100"
"29","00751B.TWO","2021-09-17","37.75","0.3500","0.0093"
"30","00751B.TWO","2021-12-16","37.25","0.3500","0.0094"
"31","00751B.TWO","2022-03-16","32.60","0.3700","0.0113"
"32","00751B.TWO","2022-06-17","30.26","0.4200","0.0139"
"33","00751B.TWO","2022-09-20","31.12","0.4400","0.0141"
"34","00751B.TWO","2022-12-16","31.81","0.4600","0.0145"
"35","00751B.TWO","2023-03-16","30.56","0.4500","0.0147"
"36","00751B.TWO","2023-06-16","30.89","0.4400","0.0142"
"37","00751B.TWO","2023-09-18","30.67","0.4500","0.0147"
"38","00751B.TWO","2023-12-18","33.34","0.4500","0.0135"
"39","00751B.TWO","2024-03-18","32.42","0.4400","0.0136"
"40","00751B.TWO","2024-06-20","32.93","0.4700","0.0143"
"41","00751B.TWO","2024-09-18","35.05","0.4600","0.0131"
"42","00751B.TWO","2024-12-17","33.27","0.4600","0.0138"
"43","00751B.TWO","2025-03-21","33.82","0.4500","0.0133"
"44","00751B.TWO","2025-06-20",NULL,"0.4100",NULL
"45","00720B.TWO","2018-10-23","27.71","0.5200","0.0188"
"46","00720B.TWO","2019-01-22","28.23","0.2600","0.0092"
"47","00720B.TWO","2019-04-23","30.38","0.3000","0.0099"
"48","00720B.TWO","2019-07-19","32.79","0.4500","0.0137"
"49","00720B.TWO","2019-10-23","34.06","0.4800","0.0141"
"50","00720B.TWO","2020-01-31","35.75","0.4600","0.0129"
"51","00720B.TWO","2020-04-23","35.15","0.4800","0.0137"
"52","00720B.TWO","2020-07-16","37.44","0.4300","0.0115"
"53","00720B.TWO","2020-10-21","35.66","0.4300","0.0121"
"54","00720B.TWO","2021-01-19","36.07","0.4100","0.0114"
"55","00720B.TWO","2021-04-20","34.34","0.4200","0.0122"
"56","00720B.TWO","2021-07-16","36.34","0.4100","0.0113"
"57","00720B.TWO","2021-10-19","36.24","0.4100","0.0113"
"58","00720B.TWO","2022-01-18","34.57","0.4100","0.0119"
"59","00720B.TWO","2022-04-20","30.43","0.4300","0.0141"
"60","00720B.TWO","2022-10-19","27.87","0.5100","0.0183"
"61","00720B.TWO","2023-01-31","30.23","0.4900","0.0162"
"62","00720B.TWO","2023-04-21","30.21","0.5000","0.0166"
"63","00720B.TWO","2023-07-18","30.58","0.4800","0.0157"
"64","00720B.TWO","2023-10-19","28.25","0.4900","0.0173"
"65","00720B.TWO","2024-01-17","32.47","0.4800","0.0148"
"66","00720B.TWO","2024-04-18","31.77","0.5100","0.0161"
"67","00720B.TWO","2024-07-16","33.73","0.5200","0.0154"
"68","00720B.TWO","2024-10-17","34.82","0.5100","0.0146"
"69","00720B.TWO","2025-01-17","33.60","0.5000","0.0149"
"70","00720B.TWO","2025-04-23","32.69","0.5000","0.0153"
"71","00720B.TWO","2025-07-21",NULL,"0.4500",NULL
"72","00725B.TWO","2018-07-26","28.91","0.4700","0.0163"
"73","00725B.TWO","2018-10-18","28.50","0.2700","0.0095"
"74","00725B.TWO","2019-01-17","28.78","0.2300","0.0080"
"75","00725B.TWO","2019-04-22","30.88","0.3800","0.0123"
"76","00725B.TWO","2019-07-17","32.86","0.5100","0.0155"
"77","00725B.TWO","2019-10-18","34.19","0.5000","0.0146"
"78","00725B.TWO","2020-01-30","35.68","0.4700","0.0132"
