"id","ticker","date","dividend","year","month"
"1","00937B.TWO","2024-02-27","0.0840","2024","2"
"2","00937B.TWO","2024-03-18","0.0840","2024","3"
"3","00937B.TWO","2024-04-18","0.0840","2024","4"
"4","00937B.TWO","2024-05-17","0.0840","2024","5"
"5","00937B.TWO","2024-06-24","0.0840","2024","6"
"6","00937B.TWO","2024-07-19","0.0840","2024","7"
"7","00937B.TWO","2024-08-21","0.0820","2024","8"
"8","00937B.TWO","2024-09-23","0.0820","2024","9"
"9","00937B.TWO","2024-10-22","0.0820","2024","10"
"10","00937B.TWO","2024-11-21","0.0820","2024","11"
"11","00937B.TWO","2024-12-20","0.0820","2024","12"
"12","00937B.TWO","2025-01-22","0.0820","2025","1"
"13","00937B.TWO","2025-02-18","0.0820","2025","2"
"14","00937B.TWO","2025-03-18","0.0800","2025","3"
"15","00937B.TWO","2025-04-21","0.0800","2025","4"
"16","00937B.TWO","2025-05-19","0.0770","2025","5"
"17","00937B.TWO","2025-06-17","0.0770","2025","6"
"18","00937B.TWO","2025-07-16","0.0720","2025","7"
"19","00937B.TWO","2025-08-18","0.0720","2025","8"
"20","00751B.TWO","2019-06-24","0.5900","2019","6"
"21","00751B.TWO","2019-09-23","0.4000","2019","9"
"22","00751B.TWO","2019-12-20","0.3800","2019","12"
"23","00751B.TWO","2020-03-20","0.3650","2020","3"
"24","00751B.TWO","2020-06-16","0.3650","2020","6"
"25","00751B.TWO","2020-09-16","0.3750","2020","9"
"26","00751B.TWO","2020-12-16","0.3350","2020","12"
"27","00751B.TWO","2021-03-17","0.3600","2021","3"
"28","00751B.TWO","2021-06-17","0.3600","2021","6"
"29","00751B.TWO","2021-09-17","0.3500","2021","9"
"30","00751B.TWO","2021-12-16","0.3500","2021","12"
"31","00751B.TWO","2022-03-16","0.3700","2022","3"
"32","00751B.TWO","2022-06-17","0.4200","2022","6"
"33","00751B.TWO","2022-09-20","0.4400","2022","9"
"34","00751B.TWO","2022-12-16","0.4600","2022","12"
"35","00751B.TWO","2023-03-16","0.4500","2023","3"
"36","00751B.TWO","2023-06-16","0.4400","2023","6"
"37","00751B.TWO","2023-09-18","0.4500","2023","9"
"38","00751B.TWO","2023-12-18","0.4500","2023","12"
"39","00751B.TWO","2024-03-18","0.4400","2024","3"
"40","00751B.TWO","2024-06-20","0.4700","2024","6"
"41","00751B.TWO","2024-09-18","0.4600","2024","9"
"42","00751B.TWO","2024-12-17","0.4600","2024","12"
"43","00751B.TWO","2025-03-21","0.4500","2025","3"
"44","00751B.TWO","2025-06-20","0.4100","2025","6"
"45","00720B.TWO","2018-10-23","0.5200","2018","10"
"46","00720B.TWO","2019-01-22","0.2600","2019","1"
"47","00720B.TWO","2019-04-23","0.3000","2019","4"
"48","00720B.TWO","2019-07-19","0.4500","2019","7"
"49","00720B.TWO","2019-10-23","0.4800","2019","10"
"50","00720B.TWO","2020-01-31","0.4600","2020","1"
"51","00720B.TWO","2020-04-23","0.4800","2020","4"
"52","00720B.TWO","2020-07-16","0.4300","2020","7"
"53","00720B.TWO","2020-10-21","0.4300","2020","10"
"54","00720B.TWO","2021-01-19","0.4100","2021","1"
"55","00720B.TWO","2021-04-20","0.4200","2021","4"
"56","00720B.TWO","2021-07-16","0.4100","2021","7"
"57","00720B.TWO","2021-10-19","0.4100","2021","10"
"58","00720B.TWO","2022-01-18","0.4100","2022","1"
"59","00720B.TWO","2022-04-20","0.4300","2022","4"
"60","00720B.TWO","2022-10-19","0.5100","2022","10"
"61","00720B.TWO","2023-01-31","0.4900","2023","1"
"62","00720B.TWO","2023-04-21","0.5000","2023","4"
"63","00720B.TWO","2023-07-18","0.4800","2023","7"
"64","00720B.TWO","2023-10-19","0.4900","2023","10"
"65","00720B.TWO","2024-01-17","0.4800","2024","1"
"66","00720B.TWO","2024-04-18","0.5100","2024","4"
"67","00720B.TWO","2024-07-16","0.5200","2024","7"
"68","00720B.TWO","2024-10-17","0.5100","2024","10"
"69","00720B.TWO","2025-01-17","0.5000","2025","1"
"70","00720B.TWO","2025-04-23","0.5000","2025","4"
"71","00720B.TWO","2025-07-21","0.4500","2025","7"
"72","00725B.TWO","2018-07-26","0.4700","2018","7"
"73","00725B.TWO","2018-10-18","0.2700","2018","10"
"74","00725B.TWO","2019-01-17","0.2300","2019","1"
"75","00725B.TWO","2019-04-22","0.3800","2019","4"
"76","00725B.TWO","2019-07-17","0.5100","2019","7"
"77","00725B.TWO","2019-10-18","0.5000","2019","10"
"78","00725B.TWO","2020-01-30","0.4700","2020","1"
"79","00725B.TWO","2020-04-22","0.4800","2020","4"
"80","00725B.TWO","2020-07-20","0.4000","2020","7"
"81","00725B.TWO","2020-10-21","0.4200","2020","10"
"82","00725B.TWO","2021-01-19","0.4200","2021","1"
"83","00725B.TWO","2021-04-20","0.3600","2021","4"
"84","00725B.TWO","2021-07-16","0.4100","2021","7"
"85","00725B.TWO","2021-10-19","0.3900","2021","10"
